#,Business Name,Type,Score,Phone,Email,Website,Address,Reviews,Rating,Priority Reason
1,INDOLICIOUS,Asian restaurant,HOT Hot,+264 81 288 8616,,None,"Maerua Mall, Windhoek, Namibia",22,5,"High priority — few reviews, needs marketing help"
2,Cooper Plumbers,Plumber,HOT Hot,+264 81 122 3333,,None,"10023, 4 Henckert Street, Windhoek, Namibia",7,4.3,"High priority — few reviews, needs marketing help"
3,City Plumbing,Plumber,HOT Hot,+264 81 253 0639,,None,"Dr Moses Tjitendero St, Windhoek, Namibia",3,3.7,"High priority — few reviews, needs marketing help"
4,"NamLeak Detection, Plumbing & Electrical Services - Central",Plumber,HOT Hot,+264 81 166 8000,cobus@namleak.com,http://namleak.com/?utm_source=gmb&utm_medium=referral,"27 Tacoma Street, Windhoek, Namibia",21,3.4,"High priority — few reviews, needs marketing help"
5,Potties Plumbing Services,Plumber,HOT Hot,+264 81 678 0100,,None,"Windhoek, Namibia",1,5,"High priority — few reviews, needs marketing help"
6,Lucky Electrical Services cc,Electrical installation service,HOT Hot,+264 81 311 8157,,None,"Sam Nujoma Dr, Windhoek, Namibia",11,5,"High priority — few reviews, needs marketing help"
7,Stoneway Dial an Electrician in Windhoek,Electrical engineer,HOT Hot,+264 81 608 0226,,None,"F36R+2F6, Akwamaryn Street, Windhoek, Namibia",0,N/A,"High priority — few reviews, needs marketing help"
8,SWE Systems,Electrical installation service,HOT Hot,+264 61 222 409,,None,"C3VR+FW8, Windhoek, Namibia",0,N/A,"High priority — few reviews, needs marketing help"
9,Megatric Electrical cc,Electrician,HOT Hot,+264 85 815 5698,,None,N/A,17,4.8,"High priority — few reviews, needs marketing help"
10,Vollmond Engineering CC (Dial an Electrician),Electrician,HOT Hot,+264 81 257 3152,,None,"Tal Street, Windhoek, Namibia",48,4.6,"High priority — few reviews, needs marketing help"
11,Aesthetic Dentistry Namibia,Dental clinic,HOT Hot,+264 61 224 510,,None,"Hilltop village, Ombika Street, Windhoek, Namibia",15,4.2,"High priority — few reviews, needs marketing help"
12,Dr Diaan Burger,Dentist,HOT Hot,+264 61 242 122,,None,"93X7+X5H, Windhoek, Namibia",5,5,"High priority — few reviews, needs marketing help"
13,Dr Wessley Mouton Dental Practice CC,Dental clinic,HOT Hot,+264 81 129 7286,,None,"Moses Tjitendero St, Windhoek, Namibia",22,4.5,"High priority — few reviews, needs marketing help"
14,Edge Dental Practice,Dentist,HOT Hot,+264 83 385 7820,,None,"Office 6 2nd Floor Demushuwa Building, 10010, Ombika Street, Windhoek, Namibia",0,N/A,"High priority — few reviews, needs marketing help"
